id,model,trim,year,price_usd,mileage_km,fuel_type,transmission,engine_liters,horsepower,color,body_type,region,owner_count,condition,service_history
233,E-Class,Sport,2019,78011,195899,Plug-in Hybrid,Automatic,4.7,236,Silver,Liftback,Europe,1,Like New,Yes
234,CLA,Luxury,2025,86212,147989,Plug-in Hybrid,Manual,2.1,562,Black,Coupe,Asia Pacific,2,Like New,Yes
235,EQC,Premium Plus,2018,75655,177072,Electric,Automatic,0,202,Gold,Sedan,Europe,2,Good,Yes
236,CLA,Exclusive,2015,43204,138476,Petrol,Manual,3.4,134,Green,Coupe,North America,3,Like New,Yes
237,B-Class,Base,2015,34234,139095,Diesel,Automatic,3.9,245,Silver,Coupe,North America,3,Good,Yes
238,EQA,Avantgarde,2022,65891,172033,Electric,Automatic,0,266,Beige,SUV,Middle East,2,Good,Yes
239,EQC,Luxury,2016,77233,197872,Electric,Automatic,0,257,White,Sedan,North America,4,Very Good,Yes
240,GLE,Night Edition,2024,111291,40356,Hybrid,Manual,3.9,391,Gold,SUV,Middle East,2,New,No
241,AMG GT,AMG Line,2015,138526,150908,Plug-in Hybrid,Automatic,4.8,111,White,Coupe,Latin America,3,Like New,Yes
242,GLA,AMG Line,2024,47691,167891,Petrol,Automatic,2.3,243,Gray,Sedan,Africa,3,Very Good,Yes
243,GLC,Premium Plus,2009,44339,237171,Diesel,Automatic,4.3,160,Blue,SUV,Asia Pacific,4,Like New,No
244,GLA,Sport,2021,53678,27737,Petrol,Automatic,3.7,310,Gold,Roadster,North America,4,Fair,Yes
245,A-Class,AMG Line,2013,45264,193619,Hybrid,Manual,5.7,593,Green,Sedan,Latin America,1,Fair,Yes
246,A-Class,Premium Plus,2020,38903,183151,Petrol,Manual,6.3,214,White,Roadster,Latin America,1,Excellent,No
247,EQB,Exclusive,2019,88647,62799,Electric,Automatic,0,491,Brown,Sedan,Middle East,4,Good,Yes
248,EQB,Base,2009,88312,236981,Electric,Automatic,0,534,White,SUV,Africa,4,Like New,Yes
249,B-Class,Base,2014,51785,61401,Diesel,Manual,6.9,439,Green,Convertible,North America,1,Very Good,Yes
250,CLA,AMG Line,2022,43542,163541,Hybrid,Automatic,4.7,194,Gray,Coupe,Middle East,1,Good,Yes
251,S-Class,Sport,2024,121885,46545,Plug-in Hybrid,Automatic,2.5,293,Brown,SUV,Middle East,2,Very Good,No
252,C-Class,Luxury,2014,66991,189615,Petrol,Manual,4.7,399,Beige,SUV,Asia Pacific,3,New,Yes
253,EQC,Base,2008,69723,161348,Electric,Automatic,0,320,Red,Sedan,Middle East,2,Good,Yes
254,A-Class,Premium Plus,2015,58544,128944,Petrol,Automatic,6.8,610,Blue,Wagon,Africa,3,Good,Yes
255,CLA,Luxury,2019,71340,96990,Hybrid,Automatic,5.9,474,Silver,Coupe,North America,2,Excellent,Yes
256,GLC,Luxury,2016,71253,126077,Petrol,Automatic,1.9,414,Red,Liftback,Africa,4,Excellent,Yes
257,GLA,Premium,2019,69444,41472,Hybrid,Automatic,6,605,Black,SUV,Africa,4,Fair,No
258,C-Class,Premium,2021,66261,111740,Diesel,Automatic,6.8,479,White,Liftback,Europe,3,Very Good,No
259,B-Class,Exclusive,2012,73496,137075,Plug-in Hybrid,Automatic,1.7,465,Red,Wagon,Asia Pacific,1,New,No
260,GLS,Avantgarde,2008,100516,130560,Diesel,Automatic,5.3,307,Gold,SUV,Asia Pacific,2,Like New,No
261,EQA,Avantgarde,2011,85802,169378,Electric,Automatic,0,535,Blue,Sedan,North America,4,Excellent,Yes
262,GLA,Base,2016,78673,77051,Plug-in Hybrid,Automatic,3.2,584,Gray,Convertible,Africa,1,Very Good,Yes
263,A-Class,Sport,2011,45953,169765,Petrol,Manual,5.7,604,Gold,Coupe,Latin America,2,Fair,No
264,AMG GT,Sport,2024,180791,80839,Plug-in Hybrid,Manual,6.5,636,Green,Coupe,Asia Pacific,3,Excellent,No
265,EQC,Exclusive,2021,90018,18999,Electric,Automatic,0,342,Red,Sedan,Europe,1,Fair,Yes
266,S-Class,Premium,2013,89243,125980,Diesel,Manual,3.4,214,Blue,SUV,Middle East,1,Good,Yes
267,C-Class,Base,2020,83189,185765,Plug-in Hybrid,Manual,3.6,635,Green,Roadster,Middle East,3,Very Good,No
268,GLC,Premium,2019,54459,185319,Petrol,Automatic,5.1,116,Green,Coupe,Middle East,3,Excellent,No
269,CLA,AMG Line,2018,65182,136054,Petrol,Manual,4.1,395,Red,Coupe,Africa,3,Like New,Yes
270,EQB,Avantgarde,2011,63499,191591,Electric,Automatic,0,274,Red,Sedan,Middle East,2,Good,Yes
271,CLA,Night Edition,2017,68325,93804,Hybrid,Manual,5.8,269,Gray,Coupe,Latin America,2,New,Yes
272,B-Class,Sport,2013,51039,71802,Petrol,Manual,6.4,216,Blue,Coupe,Africa,2,Like New,Yes
273,B-Class,Night Edition,2012,71856,63085,Diesel,Manual,1.4,631,Green,Wagon,Europe,2,Like New,No
274,GLB,Exclusive,2014,53224,180085,Petrol,Automatic,3.8,211,Silver,Roadster,Asia Pacific,4,Like New,Yes
275,B-Class,Premium Plus,2014,79198,109234,Petrol,Automatic,5.3,595,Gold,Wagon,Europe,2,New,Yes
276,E-Class,Premium Plus,2013,82594,179204,Plug-in Hybrid,Automatic,2.2,266,Gold,Liftback,North America,1,New,No
277,E-Class,AMG Line,2021,81660,24999,Petrol,Manual,6.1,391,Green,Roadster,Middle East,1,Good,Yes
278,EQA,Night Edition,2016,83931,111661,Electric,Automatic,0,278,Black,SUV,Africa,4,New,Yes
279,B-Class,AMG Line,2008,39300,131667,Diesel,Automatic,6.2,119,Blue,Roadster,Africa,2,New,Yes
280,AMG GT,Sport,2019,143400,71051,Hybrid,Automatic,4,230,Blue,Coupe,Africa,4,Excellent,Yes
281,GLB,AMG Line,2009,41257,74792,Diesel,Manual,4.3,337,Beige,Wagon,Latin America,4,Fair,No
282,GLA,Premium Plus,2016,63927,131010,Diesel,Manual,6.2,485,Green,SUV,North America,4,Excellent,Yes
283,GLE,Luxury,2024,94472,148700,Diesel,Manual,2.4,506,Blue,SUV,Europe,3,Very Good,No
284,CLA,Premium,2019,44195,146121,Diesel,Manual,1.9,211,Blue,Coupe,Latin America,1,Excellent,Yes
285,GLE,Exclusive,2009,77584,160518,Plug-in Hybrid,Manual,2.5,133,Silver,SUV,Africa,1,Like New,No
286,EQB,Luxury,2011,75418,78814,Electric,Automatic,0,235,Red,Sedan,Africa,4,Excellent,No
287,GLB,Premium,2016,47524,197613,Petrol,Automatic,6.1,154,Green,Roadster,Middle East,3,Like New,Yes
288,S-Class,Avantgarde,2018,112720,95319,Hybrid,Manual,2.5,310,Gray,SUV,Middle East,4,Very Good,Yes
289,GLS,Base,2011,115235,57466,Petrol,Automatic,5.5,414,Gray,SUV,Middle East,4,Excellent,Yes
290,GLC,Avantgarde,2017,78549,176237,Hybrid,Automatic,5.7,503,Black,Convertible,Europe,4,Very Good,Yes
291,B-Class,Premium,2016,82646,52221,Plug-in Hybrid,Automatic,3.9,443,Beige,SUV,Latin America,2,New,Yes
292,EQA,Avantgarde,2013,85541,113656,Electric,Automatic,0,386,Gold,SUV,Latin America,3,Like New,Yes
293,S-Class,Premium Plus,2010,98214,93677,Petrol,Manual,5.4,250,Blue,SUV,Asia Pacific,1,Excellent,Yes
294,GLS,Luxury,2019,100791,80560,Hybrid,Automatic,6.5,163,Silver,SUV,Africa,4,Very Good,Yes
295,AMG GT,Luxury,2021,169469,75110,Plug-in Hybrid,Automatic,6.5,551,Black,Coupe,North America,4,Very Good,No
296,E-Class,Luxury,2022,77674,149837,Plug-in Hybrid,Manual,3.7,154,White,SUV,North America,1,Excellent,Yes
297,CLA,Premium,2010,50324,128157,Diesel,Manual,4.7,259,Beige,Coupe,Middle East,3,New,Yes
298,GLS,Sport,2018,115267,88884,Diesel,Manual,6,612,Gray,SUV,Asia Pacific,4,Fair,Yes
299,CLA,AMG Line,2013,58974,126714,Hybrid,Manual,2.2,321,Green,Coupe,North America,3,Like New,Yes
300,AMG GT,Base,2025,165512,5930,Plug-in Hybrid,Automatic,3.4,314,White,Coupe,Europe,1,Excellent,Yes
301,GLE,Avantgarde,2018,93434,149971,Petrol,Manual,6.5,506,Silver,SUV,Africa,3,Excellent,Yes
302,EQB,Luxury,2019,89039,63885,Electric,Automatic,0,302,Brown,Sedan,Latin America,4,Like New,Yes
303,CLA,Sport,2023,75688,23073,Hybrid,Automatic,5.4,508,Gold,Coupe,North America,1,Good,No
304,GLE,Base,2021,71101,102444,Diesel,Manual,6.1,132,Black,SUV,Middle East,3,Very Good,Yes
305,E-Class,Luxury,2011,93732,199007,Plug-in Hybrid,Manual,6.7,583,Blue,Roadster,Europe,4,Like New,Yes
306,AMG GT,Night Edition,2019,127893,75185,Diesel,Manual,2.3,137,Gray,Coupe,Middle East,3,Very Good,Yes
307,S-Class,Premium,2012,131668,98810,Plug-in Hybrid,Manual,6.9,567,Brown,SUV,Europe,1,Like New,No
308,GLB,Night Edition,2024,87827,130261,Diesel,Manual,6.2,628,Brown,Convertible,North America,3,Like New,No
309,S-Class,Avantgarde,2015,126034,79153,Hybrid,Manual,5.9,377,Gold,SUV,Asia Pacific,2,New,Yes
310,GLC,Avantgarde,2012,54536,214762,Petrol,Manual,4.8,156,Blue,Convertible,Middle East,4,New,Yes
311,GLE,Premium Plus,2016,82212,76420,Petrol,Automatic,6.2,455,White,SUV,Latin America,1,Fair,Yes
312,S-Class,Premium,2025,106124,165018,Diesel,Automatic,7,296,Green,SUV,Africa,1,Excellent,No
313,CLA,Exclusive,2025,78913,40591,Diesel,Automatic,3.7,544,Brown,Coupe,Middle East,2,Excellent,Yes
314,S-Class,Night Edition,2017,99405,186320,Hybrid,Manual,5.9,416,Black,SUV,North America,3,Fair,Yes
315,E-Class,Premium,2008,56871,125828,Diesel,Automatic,4.5,223,Blue,Roadster,Middle East,2,Like New,Yes
316,GLE,Avantgarde,2010,77695,182628,Diesel,Automatic,4.6,355,Brown,SUV,Europe,1,Like New,Yes
317,E-Class,AMG Line,2012,75755,119768,Petrol,Manual,3,297,Red,Convertible,Latin America,4,New,No
318,GLB,Luxury,2015,53990,103261,Hybrid,Manual,5.8,306,Brown,Hatchback,Africa,1,Very Good,Yes
319,GLA,Premium,2016,42159,214788,Plug-in Hybrid,Automatic,3.3,249,White,Sedan,Africa,1,Fair,No
320,C-Class,Exclusive,2008,61281,102023,Plug-in Hybrid,Automatic,6.6,228,Brown,SUV,Africa,3,Like New,Yes
321,EQA,Sport,2018,77406,74029,Electric,Automatic,0,385,Gray,Sedan,Europe,3,Good,Yes
322,C-Class,Premium,2017,68808,197434,Hybrid,Manual,3.9,559,Gold,Wagon,Latin America,4,Very Good,Yes
323,S-Class,Night Edition,2011,127942,149503,Diesel,Manual,3.4,625,Gray,SUV,Asia Pacific,3,New,Yes
324,GLS,Premium,2025,133081,94227,Plug-in Hybrid,Automatic,3.8,474,Gray,SUV,Europe,1,Excellent,Yes
325,S-Class,Avantgarde,2021,103750,116143,Hybrid,Manual,4.1,126,Brown,SUV,Africa,3,Excellent,No
326,GLB,Avantgarde,2009,63960,83461,Diesel,Automatic,2.3,529,Red,Sedan,North America,4,Excellent,Yes
327,C-Class,Night Edition,2008,20639,108301,Diesel,Manual,7,127,Black,Wagon,Asia Pacific,2,Fair,Yes
328,GLA,Sport,2018,78061,197260,Petrol,Manual,5.1,623,Gray,Hatchback,Middle East,4,Like New,No
329,A-Class,Luxury,2024,49710,144626,Petrol,Automatic,5.1,347,Silver,Liftback,North America,3,Good,No
330,C-Class,Premium,2009,68086,148615,Plug-in Hybrid,Automatic,2.3,317,Gold,Roadster,North America,1,New,No
331,GLE,Exclusive,2019,96478,79464,Plug-in Hybrid,Manual,6.9,570,White,SUV,Europe,2,Fair,No
332,GLB,Base,2025,88391,85176,Petrol,Automatic,1.3,599,Red,Hatchback,Asia Pacific,4,Excellent,No
333,B-Class,Luxury,2008,57714,188803,Plug-in Hybrid,Automatic,4.6,503,White,Hatchback,Latin America,1,Excellent,No
334,GLC,Premium Plus,2023,93094,16386,Plug-in Hybrid,Automatic,4.8,604,White,Sedan,Middle East,1,Fair,Yes
335,EQB,Base,2016,93036,63921,Electric,Automatic,0,389,Silver,SUV,Africa,3,Like New,No
336,E-Class,Avantgarde,2023,78456,183422,Hybrid,Manual,6.3,274,Beige,Roadster,Latin America,3,Like New,Yes
337,B-Class,Luxury,2023,54723,113826,Plug-in Hybrid,Automatic,4.1,215,Silver,SUV,Latin America,3,Good,Yes
338,GLS,Base,2019,131551,131274,Plug-in Hybrid,Automatic,1.7,577,White,SUV,Europe,4,Very Good,Yes
339,GLA,Luxury,2016,48411,203565,Petrol,Manual,2.9,313,Green,Hatchback,Asia Pacific,1,Excellent,Yes
340,B-Class,Exclusive,2009,16232,162965,Diesel,Automatic,6.9,152,Gray,SUV,Africa,4,Fair,No
341,B-Class,Avantgarde,2011,58876,199228,Hybrid,Automatic,3.9,366,Silver,Liftback,Latin America,1,New,Yes
342,B-Class,Luxury,2015,61742,151930,Diesel,Manual,5.3,519,Black,SUV,Middle East,4,Like New,Yes
343,C-Class,Night Edition,2024,77736,116953,Diesel,Manual,5.9,596,Blue,Liftback,Asia Pacific,1,Excellent,Yes
344,A-Class,Luxury,2021,83388,108429,Plug-in Hybrid,Manual,3.2,623,Red,Liftback,Middle East,2,Excellent,Yes
345,A-Class,Premium Plus,2015,67244,48168,Plug-in Hybrid,Manual,1.7,577,Silver,SUV,Asia Pacific,2,Good,No
346,GLA,Base,2012,42518,167418,Petrol,Automatic,6.4,258,Silver,Hatchback,Africa,3,Very Good,Yes
347,GLA,AMG Line,2012,48564,75679,Diesel,Manual,4.4,356,Beige,SUV,Africa,3,Very Good,Yes
348,EQB,Avantgarde,2009,82260,182121,Electric,Automatic,0,398,Gold,SUV,Asia Pacific,4,Like New,Yes
349,B-Class,Premium,2016,41940,39621,Hybrid,Automatic,2.8,179,Beige,Roadster,Latin America,2,Good,Yes
350,AMG GT,Sport,2020,155693,95550,Petrol,Automatic,6.5,468,Gray,Coupe,Europe,2,Excellent,No
351,GLB,Luxury,2017,56097,89763,Hybrid,Automatic,1.3,444,Silver,SUV,Asia Pacific,4,Fair,Yes
352,AMG GT,Avantgarde,2023,163039,37602,Petrol,Automatic,5.7,447,Beige,Coupe,Europe,4,Like New,Yes
353,GLS,AMG Line,2019,126315,147879,Plug-in Hybrid,Manual,6.7,545,Brown,SUV,Middle East,1,Very Good,Yes
354,AMG GT,Premium,2013,134316,143639,Hybrid,Manual,5,223,Brown,Coupe,Africa,1,Excellent,No
355,S-Class,Premium,2009,120344,106622,Petrol,Manual,6.8,492,Black,SUV,Asia Pacific,1,Like New,Yes
356,GLB,Night Edition,2021,82526,126096,Hybrid,Manual,5.1,375,Blue,SUV,Middle East,3,New,No
357,GLC,Exclusive,2009,51386,216405,Hybrid,Automatic,1.3,170,Silver,SUV,North America,4,Like New,Yes
358,EQC,Base,2018,104871,154964,Electric,Automatic,0,481,Gray,SUV,Middle East,3,Like New,No
359,EQC,Base,2021,80309,194944,Electric,Automatic,0,406,Brown,Sedan,Middle East,3,Fair,Yes
360,GLA,Exclusive,2021,57479,135754,Diesel,Manual,6.2,305,Brown,Wagon,Asia Pacific,1,Excellent,Yes
361,C-Class,AMG Line,2019,48646,168279,Hybrid,Manual,2,111,White,Coupe,Africa,2,Excellent,No
362,CLA,Premium,2013,60358,79308,Diesel,Automatic,6.6,450,Silver,Coupe,Middle East,3,Excellent,Yes
363,EQA,AMG Line,2014,84425,186347,Electric,Automatic,0,519,Black,SUV,Europe,1,Excellent,Yes
364,S-Class,Night Edition,2013,103619,63666,Diesel,Automatic,5.6,507,Blue,SUV,Middle East,3,Fair,No
365,E-Class,Premium Plus,2012,68761,92984,Petrol,Manual,4,170,Gray,Liftback,North America,4,New,Yes
366,C-Class,Luxury,2009,60767,92464,Hybrid,Automatic,3.3,248,Green,Sedan,Asia Pacific,2,New,Yes
367,C-Class,Sport,2014,57537,94617,Hybrid,Manual,3.7,141,Silver,Roadster,Asia Pacific,1,New,Yes
368,EQA,Sport,2015,95916,138032,Electric,Automatic,0,520,Black,SUV,Middle East,2,New,Yes
369,A-Class,Base,2024,49653,36364,Petrol,Manual,6.3,112,Silver,Roadster,Middle East,4,Like New,Yes
370,A-Class,Base,2019,60303,65811,Hybrid,Automatic,2.9,286,White,Hatchback,Asia Pacific,4,Like New,Yes
371,GLC,Luxury,2017,46967,130187,Plug-in Hybrid,Automatic,6.7,121,Green,Coupe,Europe,4,Fair,No
372,GLE,Avantgarde,2017,89219,96268,Plug-in Hybrid,Automatic,2.1,212,Red,SUV,Latin America,1,Excellent,Yes
373,A-Class,Sport,2013,52774,171912,Diesel,Manual,2.8,556,Green,Convertible,North America,1,Excellent,Yes
374,AMG GT,Luxury,2023,152536,115865,Diesel,Manual,6,305,Green,Coupe,Middle East,1,New,Yes
375,GLA,Sport,2017,52407,142547,Petrol,Automatic,4.1,445,Gray,Liftback,Middle East,1,Good,No
376,S-Class,Base,2009,97870,156472,Plug-in Hybrid,Manual,3.1,138,Red,SUV,Europe,2,Like New,No
377,GLB,Sport,2010,55686,114352,Petrol,Automatic,4.5,246,White,SUV,Europe,3,New,No
378,GLB,Avantgarde,2015,62451,130187,Diesel,Automatic,3.4,583,Silver,Roadster,Africa,2,Good,No
379,A-Class,Night Edition,2016,28448,94673,Petrol,Manual,5.6,172,Black,Liftback,Latin America,3,Fair,Yes
380,AMG GT,Premium,2010,149546,234153,Hybrid,Automatic,5.3,480,Silver,Coupe,Asia Pacific,2,Like New,No
381,EQA,AMG Line,2018,86449,77718,Electric,Automatic,0,613,White,SUV,North America,3,Fair,Yes
382,GLA,AMG Line,2019,59899,141718,Petrol,Automatic,6.9,600,Silver,Coupe,Asia Pacific,4,Fair,Yes
383,B-Class,Avantgarde,2008,49387,209177,Diesel,Automatic,2.6,422,Black,Wagon,North America,2,New,Yes
384,GLB,Avantgarde,2022,72370,45037,Hybrid,Automatic,4.9,180,Black,SUV,Latin America,2,New,No
385,GLS,Night Edition,2020,98600,141447,Plug-in Hybrid,Automatic,6.3,213,Black,SUV,North America,4,Fair,No
386,GLS,Exclusive,2011,98605,213266,Plug-in Hybrid,Automatic,5.9,154,Red,SUV,Africa,3,Excellent,Yes
387,AMG GT,Base,2014,164700,123744,Petrol,Automatic,3.5,489,Green,Coupe,Asia Pacific,2,New,No
388,EQC,AMG Line,2015,83285,107953,Electric,Automatic,0,207,Beige,Sedan,Middle East,3,Excellent,No
389,GLC,Premium Plus,2014,67732,75846,Plug-in Hybrid,Manual,6.8,326,Brown,Roadster,Latin America,3,Good,Yes
390,EQC,AMG Line,2022,95287,117735,Electric,Automatic,0,493,Red,Sedan,North America,1,Fair,No
391,GLC,Premium,2011,91035,60119,Plug-in Hybrid,Manual,5.2,538,Brown,Convertible,Asia Pacific,4,Excellent,Yes
392,GLC,AMG Line,2020,76644,121241,Hybrid,Manual,3.9,284,Green,Coupe,Africa,4,Like New,Yes
393,E-Class,Base,2013,71882,200981,Diesel,Automatic,5.3,425,Green,SUV,Middle East,2,Like New,No
394,C-Class,Base,2016,70841,41828,Diesel,Automatic,4.6,607,Brown,Roadster,Africa,3,Very Good,No
395,EQA,Premium Plus,2008,86966,122640,Electric,Automatic,0,590,Gray,Sedan,Europe,3,Excellent,Yes
396,B-Class,AMG Line,2012,63795,84770,Diesel,Automatic,1.8,527,Beige,Roadster,Asia Pacific,4,Like New,Yes
397,CLA,AMG Line,2019,45479,110564,Diesel,Manual,4,273,Gray,Coupe,Asia Pacific,1,Good,No
398,CLA,Base,2023,71954,11419,Diesel,Automatic,2.8,461,Brown,Coupe,Latin America,1,Excellent,No
399,GLS,Premium Plus,2019,95582,154168,Diesel,Automatic,1.4,340,Green,SUV,Asia Pacific,3,Good,Yes
400,GLC,Avantgarde,2015,62711,95280,Hybrid,Automatic,2,141,Green,Coupe,Europe,2,Excellent,Yes
401,GLA,AMG Line,2017,59250,67144,Petrol,Automatic,3.8,287,Gray,Convertible,Africa,4,Like New,Yes
402,A-Class,Night Edition,2019,43615,72132,Petrol,Manual,6.3,178,Silver,Coupe,Asia Pacific,4,Excellent,Yes
403,GLS,AMG Line,2014,93680,155102,Diesel,Automatic,3.7,329,Black,SUV,Latin America,2,Very Good,Yes
404,AMG GT,Premium,2016,151699,168279,Plug-in Hybrid,Automatic,4.4,591,Blue,Coupe,Asia Pacific,3,Fair,Yes
405,AMG GT,Avantgarde,2025,158481,88900,Petrol,Manual,4.5,431,Green,Coupe,Latin America,2,Excellent,No
406,C-Class,Luxury,2018,52586,142663,Plug-in Hybrid,Automatic,6.8,329,Brown,Roadster,Africa,3,Fair,Yes
407,AMG GT,Avantgarde,2020,149948,197242,Petrol,Manual,3,348,White,Coupe,Asia Pacific,3,New,No
408,C-Class,Premium Plus,2010,53798,177452,Petrol,Automatic,7,564,Brown,Roadster,Latin America,3,Good,No
409,AMG GT,Avantgarde,2025,138766,141413,Diesel,Manual,2.3,312,Gray,Coupe,Africa,3,Good,Yes
410,B-Class,Premium Plus,2013,51202,71237,Plug-in Hybrid,Automatic,4.6,267,Silver,Hatchback,Latin America,1,Good,No
411,CLA,Sport,2023,42887,99940,Diesel,Automatic,3.2,221,Silver,Coupe,North America,4,Good,No
412,A-Class,Premium Plus,2024,54471,131634,Diesel,Automatic,3,604,Beige,Wagon,Europe,3,Fair,Yes
413,AMG GT,Sport,2025,159731,164521,Diesel,Automatic,5.4,530,Gray,Coupe,Latin America,1,Excellent,No
414,E-Class,Premium Plus,2011,66058,224039,Diesel,Automatic,1.7,413,Gold,Coupe,North America,3,Like New,Yes
415,EQA,Premium,2009,72870,140343,Electric,Automatic,0,612,Beige,SUV,Latin America,2,Fair,No
416,AMG GT,Premium Plus,2019,171221,50518,Plug-in Hybrid,Manual,5.4,493,Green,Coupe,Africa,2,Like New,Yes
417,GLS,Exclusive,2019,134708,89892,Plug-in Hybrid,Automatic,5.4,519,Blue,SUV,Middle East,3,Excellent,No
418,E-Class,AMG Line,2008,88898,93071,Diesel,Automatic,4.1,597,Silver,Liftback,Middle East,3,Like New,Yes
419,GLB,Premium,2010,77248,203857,Plug-in Hybrid,Manual,5.4,519,White,Coupe,Africa,3,New,Yes
420,EQA,Premium Plus,2014,91986,63766,Electric,Automatic,0,566,Brown,Sedan,Latin America,4,Excellent,Yes
421,GLB,Premium,2022,67071,172024,Plug-in Hybrid,Manual,6.5,114,Brown,SUV,Europe,3,New,Yes
422,S-Class,Avantgarde,2022,92192,71624,Diesel,Automatic,6,246,Gold,SUV,Latin America,3,Fair,No
423,AMG GT,Premium Plus,2010,168206,57946,Petrol,Automatic,2.9,631,Silver,Coupe,North America,3,New,No
424,EQB,Base,2020,94386,171689,Electric,Automatic,0,315,Blue,SUV,Middle East,3,New,Yes
425,GLE,Avantgarde,2023,113603,70461,Hybrid,Manual,6.8,510,White,SUV,Asia Pacific,2,Like New,Yes
426,S-Class,AMG Line,2008,114080,112589,Petrol,Automatic,1.7,505,Black,SUV,Middle East,4,Excellent,Yes
427,B-Class,Avantgarde,2024,46611,140392,Hybrid,Automatic,1.8,189,Blue,Hatchback,North America,4,Good,Yes
428,CLA,Night Edition,2008,50441,184679,Petrol,Manual,5.9,413,Gold,Coupe,Latin America,1,Excellent,No
429,EQC,Premium,2014,105671,146988,Electric,Automatic,0,485,Gold,Sedan,North America,3,New,Yes
430,E-Class,Avantgarde,2012,68486,133254,Hybrid,Manual,6.3,134,Green,Hatchback,North America,4,New,Yes
431,GLE,Premium,2017,79381,116950,Diesel,Automatic,3.1,194,Beige,SUV,Latin America,2,Like New,Yes
432,AMG GT,Base,2025,139151,141068,Hybrid,Manual,5.1,292,Black,Coupe,Europe,3,Fair,Yes
433,EQB,Night Edition,2019,90061,120891,Electric,Automatic,0,370,Blue,SUV,Asia Pacific,1,Excellent,No
434,EQA,Sport,2024,88847,8414,Electric,Automatic,0,368,Beige,SUV,North America,1,Good,No
435,CLA,Sport,2018,47718,77273,Diesel,Automatic,4.5,215,Beige,Coupe,Asia Pacific,3,Excellent,No
436,C-Class,Exclusive,2015,72012,158250,Plug-in Hybrid,Automatic,6.1,578,Blue,SUV,Latin America,2,Good,Yes
437,EQC,Premium,2022,77344,171934,Electric,Automatic,0,272,White,SUV,Asia Pacific,4,Good,No
438,S-Class,Exclusive,2013,95128,165608,Diesel,Automatic,3.7,232,Gray,SUV,North America,3,Excellent,Yes
439,GLB,Base,2024,78625,158347,Hybrid,Automatic,5.4,339,White,Coupe,Europe,3,New,Yes
440,GLC,AMG Line,2008,48856,215022,Diesel,Automatic,4.7,127,White,Sedan,Europe,4,New,No
441,EQB,Night Edition,2016,72738,213301,Electric,Automatic,0,480,Gold,SUV,Latin America,2,Fair,No
442,A-Class,Avantgarde,2010,40187,151573,Plug-in Hybrid,Manual,5.9,265,White,Hatchback,Asia Pacific,2,Very Good,Yes
443,EQB,Night Edition,2021,100835,189224,Electric,Automatic,0,458,White,SUV,Europe,2,New,Yes
444,EQB,Premium Plus,2008,74611,228634,Electric,Automatic,0,391,Green,Sedan,Africa,2,Excellent,Yes
445,B-Class,Premium,2013,56381,61759,Diesel,Automatic,3.3,416,Beige,SUV,Middle East,1,Like New,Yes
446,EQA,Sport,2023,90222,67983,Electric,Automatic,0,534,Green,Sedan,Europe,4,Good,No
447,GLB,Avantgarde,2020,66296,193383,Plug-in Hybrid,Manual,6.3,275,Brown,Sedan,Middle East,4,Excellent,Yes
448,EQA,Premium Plus,2018,73999,104146,Electric,Automatic,0,253,Red,Sedan,Asia Pacific,3,Excellent,Yes
449,A-Class,Exclusive,2018,37355,46048,Plug-in Hybrid,Automatic,6.8,197,Blue,Wagon,Asia Pacific,2,Fair,No
450,AMG GT,Premium Plus,2008,151170,221191,Plug-in Hybrid,Automatic,6.7,554,White,Coupe,North America,3,Excellent,Yes
451,GLE,AMG Line,2014,102077,117859,Hybrid,Manual,4.3,503,Beige,SUV,Europe,1,Like New,No
452,A-Class,AMG Line,2016,33803,196773,Petrol,Manual,6.8,335,Blue,Hatchback,North America,3,Good,Yes
453,GLB,Sport,2018,78491,34078,Plug-in Hybrid,Manual,6.7,465,Gray,Convertible,North America,3,Good,Yes
454,GLC,Premium Plus,2019,90152,74113,Plug-in Hybrid,Automatic,6.7,634,Green,Sedan,Africa,3,Fair,Yes
455,EQB,Luxury,2008,59139,162538,Electric,Automatic,0,267,Blue,SUV,North America,2,Good,No
456,AMG GT,Base,2018,147419,150101,Hybrid,Manual,4.5,200,Black,Coupe,Latin America,1,New,Yes
457,A-Class,Premium Plus,2009,68420,97530,Plug-in Hybrid,Automatic,6.6,624,Green,Wagon,Asia Pacific,2,Very Good,Yes
458,S-Class,Premium Plus,2010,116273,113000,Plug-in Hybrid,Automatic,6.2,315,Blue,SUV,Europe,1,Like New,No
